id,cancel,year,zip.code,house.color,ni.age,len.at.res,credit,coverage.type,dwelling.type,premium,sales.channel,ni.gender,ni.marital.status,n.adults,n.children,tenure,claim.ind
38,0,2013,85046,white,52,20,high,C,House,852.8859862,Broker,F,1,1,1,14,0
51,0,2013,50032,red,38,13,high,C,House,883.0390184,Broker,F,1,3,1,15,0
58,0,2013,50025,red,48,9,medium,C,House,819.6582512,Phone,M,0,2,0,16,
62,0,2013,50054,blue,46,10,high,C,House,1082.048133,Broker,F,1,2,1,19,1
94,0,2013,50025,yellow,46,12,low,A,Condo,959.2458156,Phone,M,1,1,2,21,0
155,0,2013,80109,white,23,11,low,C,Condo,871.3181962,Online,M,1,4,0,3,1
173,0,2013,50025,red,50,17,high,C,House,997.1161161,Phone,F,0,5,0,26,0
227,0,2013,50009,white,54,16,medium,C,House,1007.960363,Broker,F,1,2,1,14,0
237,0,2013,80028,white,40,20,high,A,Tenant,946.8108102,Broker,M,1,3,0,11,1
319,1,2013,15033,red,46,15,high,C,House,827.6766887,Broker,F,1,2,12,13,0
417,0,2013,50023,blue,53,13,medium,C,Tenant,905.082733,Broker,F,1,1,1,19,0
418,0,2013,50036,white,23,14,low,A,Condo,883.5895411,Online,F,1,2,1,0,1
420,0,2013,80027,white,39,17,high,C,House,920.6796054,Broker,F,1,2,1,16,0
488,0,2013,85031,white,47,14,low,B,House,947.0211071,Phone,F,1,1,0,16,0
491,0,2013,98033,white,40,15,high,B,Tenant,820.4951453,Online,M,0,1,0,15,0
537,1,2013,98008,white,28,18,low,B,House,804.7889685,Phone,M,0,3,0,4,0
538,0,2013,98022,white,55,15,high,B,Condo,885.4284544,Broker,M,1,2,1,16,0
549,0,2013,85013,red,39,19,medium,A,House,875.3053062,Broker,M,0,5,0,16,1
579,0,2013,50044,white,39,7,high,A,Condo,837.1332858,Phone,F,0,1,0,19,1
589,0,2013,85070,red,65,21,low,C,House,802.5843124,Broker,M,1,1,1,15,0
596,0,2013,50054,white,49,8,high,C,House,937.9389944,Broker,M,1,1,1,16,1
607,0,2013,50022,white,59,20,high,C,House,997.5404826,Phone,M,1,1,2,18,0
624,0,2013,15056,yellow,56,14,high,C,House,922.2851773,Phone,F,1,2,4,24,0
626,0,2013,50047,blue,45,14,high,C,House,1009.53934,Broker,F,0,1,2,17,0
628,0,2013,50008,white,30,13,low,C,House,1041.328703,Broker,F,0,1,0,4,1
654,1,2013,50046,blue,26,14,high,A,Tenant,977.124994,Phone,F,0,2,0,3,0
715,0,2013,50046,blue,56,13,high,C,House,853.4238639,Broker,M,1,2,4,18,0
738,0,2013,85078,white,64,11,high,B,House,851.4657366,Broker,F,1,1,7,8,0
768,0,2013,15017,white,40,12,high,A,Tenant,746.3749074,Broker,M,1,4,1,13,0
772,0,2013,50029,blue,37,16,high,A,Tenant,951.3587563,Broker,M,0,1,1,16,0
782,0,2013,85072,white,37,22,high,A,House,796.533067,Broker,M,1,1,0,16,0
834,0,2013,80002,blue,55,18,medium,A,House,867.8876752,Online,M,1,6,1,18,1
870,0,2013,85027,blue,35,22,medium,C,Condo,826.8250228,Broker,F,0,2,0,3,1
963,0,2013,50008,red,48,15,low,C,Condo,958.3552933,Online,M,1,1,0,15,0
1001,0,2013,50025,red,39,17,medium,C,House,874.7861877,Broker,M,1,3,0,14,0
1008,0,2013,15010,blue,26,25,high,C,House,909.0453875,Broker,M,1,3,0,2,0
1039,0,2013,85083,blue,45,16,high,C,Condo,997.2952606,Broker,M,1,2,0,17,0
1112,0,2013,50025,white,45,26,high,A,Tenant,868.1512888,Phone,F,1,1,2,15,1
1135,0,2013,98011,white,41,17,low,A,Condo,1053.009771,Broker,F,0,1,1,20,0
1179,0,2013,80003,red,43,23,high,B,House,881.7815735,Phone,M,0,2,2,13,0
1200,0,2013,85034,white,29,8,low,B,Tenant,1067.923712,Phone,F,1,1,1,2,1
1274,0,2013,15003,blue,40,10,high,C,Condo,774.5362289,Broker,F,1,1,0,15,0
1292,0,2013,20136,blue,29,8,high,B,House,997.4855411,Phone,M,0,4,0,4,1
1340,0,2013,80012,white,59,20,high,A,House,916.5771926,Broker,F,1,2,6,18,1
1462,0,2013,50057,white,69,8,medium,A,House,907.0939521,Broker,M,1,1,2,15,1
1478,1,2013,85024,white,57,18,low,B,House,922.7771297,Phone,F,1,2,4,15,0
